SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,PetalArea,SepalArea,PetalLengthToSepalLength,PetalWidthToSepalWidth
5.1,3.5,1.4,0.2,Iris-setosa,0.27999999999999997,17.849999999999998,0.27450980392156865,0.05714285714285715
4.9,3.0,1.4,0.2,Iris-setosa,0.27999999999999997,14.700000000000001,0.2857142857142857,0.06666666666666667
4.7,3.2,1.3,0.2,Iris-setosa,0.26,15.040000000000001,0.2765957446808511,0.0625
4.6,3.1,1.5,0.2,Iris-setosa,0.30000000000000004,14.26,0.32608695652173914,0.06451612903225806
5.0,3.6,1.4,0.2,Iris-setosa,0.27999999999999997,18.0,0.27999999999999997,0.05555555555555556
5.4,3.9,1.7,0.4,Iris-setosa,0.68,21.060000000000002,0.31481481481481477,0.10256410256410257
4.6,3.4,1.4,0.3,Iris-setosa,0.42,15.639999999999999,0.30434782608695654,0.08823529411764706
5.0,3.4,1.5,0.2,Iris-setosa,0.30000000000000004,17.0,0.3,0.05882352941176471
4.4,2.9,1.4,0.2,Iris-setosa,0.27999999999999997,12.76,0.3181818181818181,0.06896551724137931
4.9,3.1,1.5,0.1,Iris-setosa,0.15000000000000002,15.190000000000001,0.3061224489795918,0.03225806451612903
5.4,3.7,1.5,0.2,Iris-setosa,0.30000000000000004,19.980000000000004,0.27777777777777773,0.05405405405405406
4.8,3.4,1.6,0.2,Iris-setosa,0.32000000000000006,16.32,0.33333333333333337,0.05882352941176471
4.8,3.0,1.4,0.1,Iris-setosa,0.13999999999999999,14.399999999999999,0.2916666666666667,0.03333333333333333
4.3,3.0,1.1,0.1,Iris-setosa,0.11000000000000001,12.899999999999999,0.2558139534883721,0.03333333333333333
5.8,4.0,1.2,0.2,Iris-setosa,0.24,23.2,0.20689655172413793,0.05
5.7,4.4,1.5,0.4,Iris-setosa,0.6000000000000001,25.080000000000002,0.2631578947368421,0.09090909090909091
5.4,3.9,1.3,0.4,Iris-setosa,0.52,21.060000000000002,0.24074074074074073,0.10256410256410257
5.1,3.5,1.4,0.3,Iris-setosa,0.42,17.849999999999998,0.27450980392156865,0.08571428571428572
5.7,3.8,1.7,0.3,Iris-setosa,0.51,21.66,0.2982456140350877,0.07894736842105263
5.1,3.8,1.5,0.3,Iris-setosa,0.44999999999999996,19.38,0.29411764705882354,0.07894736842105263
5.4,3.4,1.7,0.2,Iris-setosa,0.34,18.36,0.31481481481481477,0.05882352941176471
5.1,3.7,1.5,0.4,Iris-setosa,0.6000000000000001,18.87,0.29411764705882354,0.10810810810810811
4.6,3.6,1.0,0.2,Iris-setosa,0.2,16.56,0.2173913043478261,0.05555555555555556
5.1,3.3,1.7,0.5,Iris-setosa,0.85,16.83,0.33333333333333337,0.15151515151515152
4.8,3.4,1.9,0.2,Iris-setosa,0.38,16.32,0.3958333333333333,0.05882352941176471
5.0,3.0,1.6,0.2,Iris-setosa,0.32000000000000006,15.0,0.32,0.06666666666666667
5.0,3.4,1.6,0.4,Iris-setosa,0.6400000000000001,17.0,0.32,0.11764705882352942
5.2,3.5,1.5,0.2,Iris-setosa,0.30000000000000004,18.2,0.28846153846153844,0.05714285714285715
5.2,3.4,1.4,0.2,Iris-setosa,0.27999999999999997,17.68,0.2692307692307692,0.05882352941176471
4.7,3.2,1.6,0.2,Iris-setosa,0.32000000000000006,15.040000000000001,0.3404255319148936,0.0625
4.8,3.1,1.6,0.2,Iris-setosa,0.32000000000000006,14.879999999999999,0.33333333333333337,0.06451612903225806
5.4,3.4,1.5,0.4,Iris-setosa,0.6000000000000001,18.36,0.27777777777777773,0.11764705882352942
5.2,4.1,1.5,0.1,Iris-setosa,0.15000000000000002,21.32,0.28846153846153844,0.02439024390243903
5.5,4.2,1.4,0.2,Iris-setosa,0.27999999999999997,23.1,0.2545454545454545,0.047619047619047616
4.9,3.1,1.5,0.1,Iris-setosa,0.15000000000000002,15.190000000000001,0.3061224489795918,0.03225806451612903
5.0,3.2,1.2,0.2,Iris-setosa,0.24,16.0,0.24,0.0625
5.5,3.5,1.3,0.2,Iris-setosa,0.26,19.25,0.23636363636363636,0.05714285714285715
4.9,3.1,1.5,0.1,Iris-setosa,0.15000000000000002,15.190000000000001,0.3061224489795918,0.03225806451612903
4.4,3.0,1.3,0.2,Iris-setosa,0.26,13.200000000000001,0.2954545454545454,0.06666666666666667
5.1,3.4,1.5,0.2,Iris-setosa,0.30000000000000004,17.34,0.29411764705882354,0.05882352941176471
5.0,3.5,1.3,0.3,Iris-setosa,0.39,17.5,0.26,0.08571428571428572
4.5,2.3,1.3,0.3,Iris-setosa,0.39,10.35,0.2888888888888889,0.13043478260869565
4.4,3.2,1.3,0.2,Iris-setosa,0.26,14.080000000000002,0.2954545454545454,0.0625
5.0,3.5,1.6,0.6,Iris-setosa,0.96,17.5,0.32,0.17142857142857143
5.1,3.8,1.9,0.4,Iris-setosa,0.76,19.38,0.37254901960784315,0.10526315789473685
4.8,3.0,1.4,0.3,Iris-setosa,0.42,14.399999999999999,0.2916666666666667,0.09999999999999999
5.1,3.8,1.6,0.2,Iris-setosa,0.32000000000000006,19.38,0.3137254901960785,0.052631578947368425
4.6,3.2,1.4,0.2,Iris-setosa,0.27999999999999997,14.719999999999999,0.30434782608695654,0.0625
5.3,3.7,1.5,0.2,Iris-setosa,0.30000000000000004,19.61,0.2830188679245283,0.05405405405405406
5.0,3.3,1.4,0.2,Iris-setosa,0.27999999999999997,16.5,0.27999999999999997,0.060606060606060615
7.0,3.2,4.7,1.4,Iris-versicolor,6.58,22.400000000000002,0.6714285714285715,0.43749999999999994
6.4,3.2,4.5,1.5,Iris-versicolor,6.75,20.480000000000004,0.703125,0.46875
6.9,3.1,4.9,1.5,Iris-versicolor,7.3500000000000005,21.39,0.7101449275362319,0.48387096774193544
5.5,2.3,4.0,1.3,Iris-versicolor,5.2,12.649999999999999,0.7272727272727273,0.5652173913043479
6.5,2.8,4.6,1.5,Iris-versicolor,6.8999999999999995,18.2,0.7076923076923076,0.5357142857142857
5.7,2.8,4.5,1.3,Iris-versicolor,5.8500000000000005,15.959999999999999,0.7894736842105263,0.46428571428571436
6.3,3.3,4.7,1.6,Iris-versicolor,7.5200000000000005,20.79,0.746031746031746,0.4848484848484849
4.9,2.4,3.3,1.0,Iris-versicolor,3.3,11.76,0.6734693877551019,0.4166666666666667
6.6,2.9,4.6,1.3,Iris-versicolor,5.9799999999999995,19.139999999999997,0.6969696969696969,0.4482758620689655
5.2,2.7,3.9,1.4,Iris-versicolor,5.46,14.040000000000001,0.75,0.5185185185185185
5.0,2.0,3.5,1.0,Iris-versicolor,3.5,10.0,0.7,0.5
5.9,3.0,4.2,1.5,Iris-versicolor,6.300000000000001,17.700000000000003,0.711864406779661,0.5
6.0,2.2,4.0,1.0,Iris-versicolor,4.0,13.200000000000001,0.6666666666666666,0.45454545454545453
6.1,2.9,4.7,1.4,Iris-versicolor,6.58,17.689999999999998,0.7704918032786886,0.48275862068965514
5.6,2.9,3.6,1.3,Iris-versicolor,4.680000000000001,16.24,0.6428571428571429,0.4482758620689655
6.7,3.1,4.4,1.4,Iris-versicolor,6.16,20.77,0.6567164179104478,0.4516129032258064
5.6,3.0,4.5,1.5,Iris-versicolor,6.75,16.799999999999997,0.8035714285714286,0.5
5.8,2.7,4.1,1.0,Iris-versicolor,4.1,15.66,0.7068965517241379,0.37037037037037035
6.2,2.2,4.5,1.5,Iris-versicolor,6.75,13.640000000000002,0.7258064516129032,0.6818181818181818
5.6,2.5,3.9,1.1,Iris-versicolor,4.29,14.0,0.6964285714285715,0.44000000000000006
5.9,3.2,4.8,1.8,Iris-versicolor,8.64,18.880000000000003,0.8135593220338982,0.5625
6.1,2.8,4.0,1.3,Iris-versicolor,5.2,17.08,0.6557377049180328,0.46428571428571436
6.3,2.5,4.9,1.5,Iris-versicolor,7.3500000000000005,15.75,0.7777777777777779,0.6
6.1,2.8,4.7,1.2,Iris-versicolor,5.64,17.08,0.7704918032786886,0.4285714285714286
6.4,2.9,4.3,1.3,Iris-versicolor,5.59,18.56,0.6718749999999999,0.4482758620689655
6.6,3.0,4.4,1.4,Iris-versicolor,6.16,19.799999999999997,0.6666666666666667,0.4666666666666666
6.8,2.8,4.8,1.4,Iris-versicolor,6.72,19.04,0.7058823529411765,0.5
6.7,3.0,5.0,1.7,Iris-versicolor,8.5,20.1,0.7462686567164178,0.5666666666666667
6.0,2.9,4.5,1.5,Iris-versicolor,6.75,17.4,0.75,0.5172413793103449
5.7,2.6,3.5,1.0,Iris-versicolor,3.5,14.82,0.6140350877192983,0.3846153846153846
5.5,2.4,3.8,1.1,Iris-versicolor,4.18,13.2,0.6909090909090909,0.45833333333333337
5.5,2.4,3.7,1.0,Iris-versicolor,3.7,13.2,0.6727272727272727,0.4166666666666667
5.8,2.7,3.9,1.2,Iris-versicolor,4.68,15.66,0.6724137931034483,0.4444444444444444
6.0,2.7,5.1,1.6,Iris-versicolor,8.16,16.200000000000003,0.85,0.5925925925925926
5.4,3.0,4.5,1.5,Iris-versicolor,6.75,16.200000000000003,0.8333333333333333,0.5
6.0,3.4,4.5,1.6,Iris-versicolor,7.2,20.4,0.75,0.4705882352941177
6.7,3.1,4.7,1.5,Iris-versicolor,7.050000000000001,20.77,0.7014925373134329,0.48387096774193544
6.3,2.3,4.4,1.3,Iris-versicolor,5.720000000000001,14.489999999999998,0.6984126984126985,0.5652173913043479
5.6,3.0,4.1,1.3,Iris-versicolor,5.33,16.799999999999997,0.7321428571428571,0.43333333333333335
5.5,2.5,4.0,1.3,Iris-versicolor,5.2,13.75,0.7272727272727273,0.52
5.5,2.6,4.4,1.2,Iris-versicolor,5.28,14.3,0.8,0.4615384615384615
6.1,3.0,4.6,1.4,Iris-versicolor,6.4399999999999995,18.299999999999997,0.7540983606557377,0.4666666666666666
5.8,2.6,4.0,1.2,Iris-versicolor,4.8,15.08,0.6896551724137931,0.4615384615384615
5.0,2.3,3.3,1.0,Iris-versicolor,3.3,11.5,0.6599999999999999,0.4347826086956522
5.6,2.7,4.2,1.3,Iris-versicolor,5.460000000000001,15.12,0.7500000000000001,0.48148148148148145
